bit_length, total_bits, random_multiplier, rhs_projection_ell
25,250,29152779,24916872577243959414983914846754520383942281851284155453258812371759417845344
25,250,22667107,15789623915911713341427275140966815962955567085264163432865289633388188091469
25,250,21532024,52528586613470386124300068871442850419707332551560360159776836197360224294747
25,250,30360185,21072062706675892809218841179095958398590272663259833189552542599635436220895
25,250,29474823,86438311328806528752123943334115542678602177099124131762558941709284564558281
25,250,30751784,100095410243036435031206112727955817676921214462649191587768813014907955424485
25,250,33389060,105354165217094841826081247078584203166756845428461693236004425442809104095851
25,250,18740794,67373132330148890616088260116488447438746565356402478072248249681704136127004
25,250,28579739,81963091256795571303505849106485493750483430997553809601053511344305891213055
25,250,26735907,6843798344568140555942117358148801540751247822979191779070647624796564430260
25,250,29344683,64015769900260089034528194957259623395470167855709508196007141169017973183987
25,250,17799392,68617926275106743738036952660468240514809322004460786263893922527258018564181
25,250,24236942,46298047535455756629288502322636912865074074768893631553257593934106734155390
25,250,27951414,68374042045488032964495904764047627321021108316282506562337724799066883462854
25,250,28615131,79668430542937132088381717858058679428251393385387502632911342703226388178961
25,250,24100026,61855019108227035854739235127763188383208449102767808313937828186917626093556
25,250,33552470,5286980095162663139287308505449245568094279155971957711367575478525822255448
25,250,20074807,66986330263827982608888511905058068228742209397461084543107305350094760512759
25,250,26159978,23434173854075473747640914940369167761379103873798733229840101694544981208459
25,250,28659195,91051603322213037372534084079612508606494329815276505684358297533214120775647
25,250,21421342,76833015991634382318305560133425511904730224524325563505920503316278713633587
25,250,18282348,48503626627692856435374360327412396912210584935967322838862524500521494253787
25,250,16898012,3367218807990457035362604631065722715534199036372313699015998524703063341685
25,250,31309985,46869000208579369132260948953815931121638440679806527316631313143890151860605
25,250,25570452,35922261991770168362188606324562117142886618487380093354924664444537395776697
25,250,27099821,5163196883980446359255176982535139358585023661908790533921628012892499710829
25,250,25585693,79112368946946335504039117923545695462147259547805011178079078595050471060287
25,250,29727535,114161948378867294064588275953148195715251186406362034733812147963333207163894
25,250,31379958,20316209756109401392089745967359777428052325323313080656347788294645434755405
25,250,30429695,95958059001321092174788894038676320500074308870993776211507659068213249710010
25,250,19437085,24335535092776759779476363081529277687263249809570557283391200404608400079813
25,250,18738904,58631745501888257478154932789049963580048243650326691704010386683289039228374
25,250,31131022,16105518013660724811768454560700418731546231672618084982162309288104018643630
25,250,17081007,83526281836160069422522833362225898585016576170740998242238285109449680923170
25,250,23966806,94053490300633533760628295664856307406303707256765594174329872992196169685787
25,250,19829331,3414982066849703934381917913366031427150979159556029698702168546976780396109
25,250,32971343,67014840202462927102796801962340059305267362740742812765320063478686270803272
25,250,17052938,76484829111412650545920600270670192594696261548282878126342423198395689360063
25,250,20693864,32916634543482390875539132633763187519717624192641606916292849920551587059606
25,250,23817451,96262736328574300045981435443004862973377972174518274527204005120457524534575
