bit_length, total_bits, random_multiplier, rhs_projection_ell
19,251,455512,62951993916906733489506680959647708228395848575427147718692458322910392494057
19,251,354173,59676641108593517618112406977329190578404644320005672180102165140719472121601
19,251,336437,112504192300047710881784810417037394705671345363879128980257920693783449601581
19,251,474377,62244198890976551988798348615530212692439243177748882949340022963489275496447
19,251,460544,93847387124297430779965359197666302593427090718061451369115154803538416483251
19,251,480496,79666492658699270996482093865134961249469031492340870231920616341666730099370
19,251,521704,59290355879981859424289932716009195155356954333536185041575693266887249934065
19,251,292824,81033046320745837179566735974001781192570779161382457441210090904070334748446
19,251,446558,52308830801013107900176105762642458355275133507540666610412061937871976051565
19,251,417748,45319451342283457114999101717948399092263427383594919514617188810969919580890
19,251,458510,104869755042684804426252658395198390191931612865058604509464565171928490129127
19,251,278115,92039678775497924154436149213116145190559948156568908122046969407953710740182
19,251,378702,96959953128157650788664502881535494710626319318562168829496480755594928040475
19,251,436740,114071910036026866889511791004213164502011891451420540692743742417987079396857
19,251,447111,14903108209685060454265872056969335017886779165122236127777871820084490619557
19,251,376562,17857911266504578217105854704742833808741538679417377508261416931965528477027
19,251,524257,25144861845206851294051162521153978205371483890343262009593826585090294312801
19,251,313668,94537335747075127290433508050751579267005302529338823419010580655358136315181
19,251,408749,63644001258066924272763395892232635881366382214699016168117089564446921243502
19,251,447799,87635114801701962063687691344101090654224675888021101597796371871931445353998
19,251,334708,98771518241155981686130968484642898717412418822627001882036478183863694776086
19,251,285661,25779387084680097624763668965410819180964217455773555194344644153218664218184
19,251,264031,25924840989542820735363281243143288157059183731054413706897978313269046693221
19,251,489218,86964317232717657664640051330002030316911111166699563805847141787149429216908
19,251,399538,31133488257075192111451107862487491357129019544031683672598811627753296252015
19,251,423434,64497703471966827301538916496085841607115727774190658599950447474724729658118
19,251,399776,113592054344464875245074607036974940024355138734477695928032937128019807659992
19,251,464492,97050928319204234330463923820687214825127375299885665905445228825709418394031
19,251,490311,101344717593678782847852941545542889556040352277043365703518423527021065481282
19,251,475463,63656656989010629854739039549802173704235635411792092482247846068000726493075
19,251,303704,48777407586666978208326602802352706304609188933985984427159871208161749562194
19,251,292795,45093408708977987228545869585333320485648497468323015983809766506787784357623
19,251,486422,2946792803280952749330504668515235721105072799053173928030455866629397372334
19,251,266890,6936941337430634877724355298688615357676056902750862711163248569700469462405
19,251,374481,47902182187730562070625968012508762343119534232261698483332198430008856950831
19,251,309833,73720128224515017706667917619521732290527143647056551688324434380318559044045
19,251,515177,21517492813306849926043580216881685619113118156568969608469891409495647860337
19,251,266452,13002929633879623251660552502657708940451083170820548541341613325734186044665
19,251,323341,12520742121805480261337180256079572150667831581906636716268071738781906438223
19,251,372147,82524898871590173518447543385101044646057868874150196853898756971501466414226
19,251,415871,78075568716989170622976467869718124852960902163800567811193339448091432643909
19,251,314208,40707079415344113408042037303089390971417458285093518540622312592725502577980
19,251,368110,87187060938049003933604391813099656551416958181997600700689748161260135968702
19,251,440050,96049016716443116532317806018839621716868465898379731575191610790213335843621
19,251,392464,73557280267618584495434320267026131226616039463182189670108779629550218127420
19,251,476415,76041284330769062108442611011800565628475909807399185733007778595248007405993
19,251,377822,68328901200330968372122029095201347669255068082488528584790605653059739253684
19,251,460138,59764160087720708128554086138687136367212051074288741618508220711750833197153
19,251,369013,6498449592238236181779805117609980239718079382059223273064683726055052684438
19,251,294643,47132421593170194406570308003142351454619949850887192802566383781766197843531
19,251,444658,80416847870419666319990771683260425593348910187028534632497722605938081935697
19,251,343052,110953323776693928261082017215239611645340059278853165004011415540055504173681
19,251,286478,44523442923086073478826732173085692055993647452383045024152561011760956283477
19,251,287348,21382664954232912579926223147282096859078711166921208234052974654436062963998
19,251,344675,100908915041384415575554058246130292806741897994601293813182759235920043460712
19,251,443474,44753282814086578885293661085930657188981573249641427281122794210241157700402
19,251,336552,70814024619327164204656502650546735561153311810728157343876667805290030054861
19,251,518886,99254580307555586704259095473976238699521337464542377409274949208448446637917
19,251,463256,79919511349263090334846416605957960569629087356097695379478879549208220537019
19,251,447149,111691079797942174894240070011328453798873323015078664183614972816879030944938
19,251,291931,4348936199648815189809811302986091192179253634437734994312187232706145041385
19,251,277480,32775283441371122871463938917230390024005119307068984319301038569765839165832
19,251,422382,73087734557343940686315302648149008800958804496450632845884098379762079807644
19,251,303815,6972257813631191284980795554583553814917719133910511299589129938037846956197
19,251,465597,108824760572073046907182943826046093168801902609979313485452755995806007552614
19,251,471693,26173024358374546624493798544886750603309890748538610911655428649779739195724
19,251,519155,106851390789246748505775502921375719857825249520920229521775300267832027380291
19,251,271313,54556537909568756130421985935520771893668473574425053489341563560977890118219
19,251,459523,96000042585246278027791487844998089703273921319090358291530209774303458465686
19,251,305734,112127096271407999239821680853890225177303802729051245126903885883103816039126
19,251,313527,96241127442318584085823331907075845421147945229259382160832184376419791957313
19,251,383668,50695574173018649777824498559287896865644203835289616260527210279396707587357
19,251,317576,13693068734990207629685248239747088027776890936914631348023941904253636902389
19,251,356600,13895621162229570960894864013478921091812974854788315322397149362692995041565
19,251,476643,79853663309730374647112139142306312258950020436913043192640488063526764930762
19,251,440527,51976580158382739054714299883231979020249743267427651666849375468738235863207
19,251,303989,77849476074216240538697472619148423775048988171725789912292292741462037854370
19,251,320928,6431513409650006668512824653013903436223485093912539300601339674724882604568
19,251,399471,100278241160445121923993294143480076104039387745308420886329845874484044681511
19,251,458815,11155156206785153746193170762697893415425277467598911103031977891351889200947
19,251,324987,92264527702695377750958933780873758544513105638386411463843009386876688528423
19,251,415638,57694637963599148063852225285770544803245259111055070905442375487333399502200
19,251,467687,72531361833131184795704149242536592645635989673316417279609779284491117242959
19,251,440059,26040078045874776799486295347197897887448963236362376420201069840013738549238
19,251,521050,52058115923858416499644650788980108103724687224184986121340336679035707364526
19,251,333200,23857881266252402555053866624736586228959505312250492381752719487786196147589
19,251,411463,73949100120986952303052648179809724256209384287180686246168757908899663573201
19,251,503641,62167615435054114097562156331132552686631314671497791091689510622774910844637
19,251,411113,77363138720151537436838892803909188050707638250894432705845210419853352584820
19,251,404109,65321978004952527655986757774190819656924782721956907648072088739249917191133
19,251,508101,73938978300514307390426933344981441316230775243153693452595605300224099292315
19,251,422510,103472750285503737448786178082692121510493505550484701443725278591889954292974
19,251,302485,48382078507920533525318173596726050976232527074878977377389189267547498022738
19,251,443466,53286929541086989536249449481746723824607771024875923188988744970416527200460
19,251,388811,13794855108732498633933366214112554407608763451216148975078211312553228697590
19,251,451692,3927306477830766344231201247547879663621405915318683387442404442036572971000
19,251,270910,36054470186835552865839247377776931646597190212638868961372540489828148776371
19,251,518898,66497027502687507290920567848484310683709243422285342864470026543395993235261
19,251,322968,15115052921105337640446028261226512606611232321482251309363127362620473089008
19,251,367412,84396806914149475268741218618244155916311694912870105438047809098150177430382
19,251,377138,85969021936193416635861407854141519601882414842569772833799899448716748192384
19,251,274630,54702230207221140745835324742295181528895736982851915743251948048973054620574
19,251,496746,82004657314924937453424814769759994738653311947479184116377726245110549808152
19,251,503241,48921237650517206160383120487085357145959048259562285854181886374036314028954
19,251,463656,4978272979255745409336140719045642558657304280206113972060311693944136083799
19,251,479400,8938928860974267848367398576846534710090655429061054249897213037271017276345
19,251,481341,32601850344148976508007321807871414100642807908581769087708044745624258292935
19,251,355494,59259472428650605670673989181040163764006635497029168278127061165715311630237
19,251,288344,54404529681325046449738620797900879793233164244728218333643678820560061072731
19,251,290600,77374931545292338523748981397865259846928377137209243112521206100489040340331
19,251,515239,101967966808394730873822879105932313886344767679991572989969296530997710751187
19,251,456300,41005629162935398383273662517134861584413282397865292899766143159433300728431
19,251,472449,39277693896194600516397460875863881494980120372229224624772476184934224898850
19,251,500910,75262255651363625174805461852190396702082934547928984568251056697566662926744
19,251,447135,3907374162418350607002991688926665875633629660048477722207331443557894968661
19,251,496337,97824720220814451273393130326039001016124628927761339579202374583961573942072
19,251,371519,8824843127172370741599898818042427855578622926620139078771135425424981478695
19,251,323613,51187468588833439294911835773509780897938365553269908591793312311907210086102
19,251,504894,12093171279417713873161228259638802103857277798933126853487634487736653831294
19,251,419490,100448139148300174490239107161038323632277899496866414083714919342055794947225
19,251,358172,7012333036614597762008271010252042799922997560537055138163533186347415823385
19,251,311180,87967010041236921598556346839218747515480478407514604310293827432585154000451
19,251,506167,29638444601528077543826701088682017711603250958621539240029750243305196978728
19,251,325167,1020172398375362183840961479901745123475084095980100861745944005293115040970
19,251,285497,45937375468662260748043548255884540047513140944469040814625281129320805799137
19,251,437951,23303392563539785947725981387516969560345362723703067244829279259329662422606
19,251,323731,68685641256055806143063272639112455606110483651091123977834732471734587872573
19,251,421116,64413612446166072221805336842828139187342449543653965618960548298388268416980
19,251,321401,63627724074165223576223123056337541328579327561838507517752162869903860166742
19,251,490455,70502649224762462118593008789583993221500511746385904060551780864433200436519
19,251,375805,101549940156776043670394392120845865441257046237519907743999060001038263199884
19,251,334019,70947255460187630660982286931430675408098463920274569315764731917459515560151
19,251,454912,31272867005834499970826896775000239514586066226231321365693504991815823088138
19,251,519151,82491933066589346950083404670666894855821097265391851995574833440686027229663
19,251,287726,90906412296444663244467830893906211561463811094005591497348493445320527522973
19,251,481826,35755093491231083937177255553631704028441217715898910580906014661242463718968
19,251,369055,96766107439924065230886886122434860827488501107022378676228872226348749815807
19,251,303486,108915840763086709867923828196048156929845548293865117713029244942263782482694
19,251,511902,18197714383865030624692938017139890007960160817052384536077464111823246014328
19,251,359635,92104759837101910967727911733373247620062413569933864537754857785180756543957
19,251,371137,10409155569488164122053249533568908176666873610715664981870830129993631524490
19,251,505002,108253684001832372601474212011512628872859514756290928716873325916208418690952
19,251,311186,19994156341506306398235863719985762208269344180077398280824611613615405883639
19,251,288791,78109577818966832537076939114311828924444581396646028515136215790654994736749
19,251,316130,94068349007025123237508068450657071554885345321025498084770214701814620629350
19,251,457285,33791166393268318361936018184930250100815626689057583080361466804078161832829
19,251,435169,92120315646502199697251049866316606435081014557407796392472840723596613145122
19,251,399367,65775649266804607248065718387201263603554250708955421017443073583283502508291
19,251,459109,20483274163696251024884014081106757697170365978867702881423548035157950098915
19,251,446475,46882352737750239069701973759159842913793546180025138305587166562840241716810
19,251,300177,81032227106605201770011007063672511584926709138900841823579168888364470685396
19,251,418485,85417058065238341123603596152299154841793312038976546094086025012838415962702
19,251,460840,47096057182644144585713974187012344242555856791009737425188232594882185587212
19,251,316536,98261657775020732618152706116324533267442687311520387726553792984003631262173
19,251,382733,9109211432922536248474955798575591837146858218127274130673960677981989055877
19,251,280789,96240324422639529580333670857180202581235656913303246844496846567835839834306
19,251,409204,58694836276237777834323298609004406898415549583703662912749444922053023221079
19,251,465737,18546602374001303423247619547520853234642369672978134504144669849995353553759
19,251,279142,36139001986669647465159315811494376642163434932539231032636088257176499083020
19,251,501086,52984076970653654480667478374128905346748541134288260665701043548071474758066
19,251,399651,110473036290013450811445451771892714876854648279873672104460455375169413238149
19,251,419608,101625212197874902035713143317619462715274443256403932221666427940913554649885
19,251,387202,64663019179336417518437170051075305743059526616519799353944276826403613667130
19,251,306095,16676837955707365271005428732474166203230791015788917284406480591158776031994
19,251,476688,97294085505267441990641626803187490696237002376364360512541467828338098162908
19,251,288972,111039848591229707315057399620678976942018615576986026514499668535804366888488
19,251,482302,76445579883250261375202964492159016003916939082070165060319609767761559402042
19,251,303739,104785577384808787658012652815586156124005294379637290575097559384766192887645
19,251,393304,53321128715991945369803236461928108139348341664750486276035332617851719148228
19,251,389255,34725366595489688292455301999090234114536766025337540619540667753393458025200
19,251,298192,77853859859481592550100175486903900040403904041581424546479409034805166054345
19,251,434357,112023057579259152154554833077142913507240051327240424160297531079286609661464
19,251,361954,56891913178758123140810994844810247001423612262254351557793728292455282581936
19,251,367849,31752175808253527049143110731665978079163786549085990128597537543249388313630
19,251,346278,91342929313681724103460935192883485591642618173030063992004268229126267242461
19,251,341662,55003383967049655994425550192109648845082885192416008709847775392417099357638
19,251,370446,10466718928790137100452717557747237497978581740875397779305997323677617563537
19,251,337941,67544615900575697593599482583520254349736400744637753975247387778185546617461
19,251,481954,28243221167577413515060494159674045507560860659251847115546552626097564078764
19,251,418658,33653346893012460138942743722167419394241447217580416627332565477128331842640
19,251,406563,14548998142247331524636061503890308519707759849639687931085139956648345688356
19,251,517605,166379537932142743869252989321809105923301128642182065099383896808359460221
19,251,320116,83884743394581228073961695694801968536035632780573117802795599925824373578113
19,251,461174,47456625067202366478299425067617465656901418542321043670692978561841023019829
19,251,427329,101887069747623140690020010175950468210736295486438917699711183486198288586609
19,251,476675,45154721534629151184886201055553996616802435437675962109451909513989408996591
19,251,303020,26326672182185392322115594187813209288283628414051990186182588426383013232818
19,251,428584,38067545261325033103704210110422066647821286476583383465759088513069818298139
19,251,456077,92222770433278455750014155972829347164837565958658498747871992910620778911053
19,251,325582,18257519181886877852174444022268435257804308259890212954821686727772691293737
19,251,393943,115580646364581055645310713489787316265242698482919138543361860061732199131040
19,251,268564,95366606143520109647625861410447282390375992679982111586540595855060707973753
19,251,341481,9423859660258230452343245205756976143957739428843566574080229081675632317009
19,251,322503,70649769209153656486317690153749527624136925299505414134719131676002979042137
19,251,384884,64768364085180909697995159543625774015567822432218648852152052763461182286111
19,251,279145,111502186737774219979276385192362533751071968165920995131899314038504702597822
19,251,285404,101141588014096251351130294617082881906078783388757521928428639689599829072444
19,251,518528,69451608728651313637677576351226940524605465957259741178488044745122608895394
19,251,503527,99023793735537225365849843265037751170997566954921226176593140162084380953706
19,251,402275,9645696312551598656267183204203910224742794630799134246930398320336823975301
19,251,348148,30664115320344127915297895335055385533540076105114449944496030385880481859425
19,251,360318,94748887685911310549015910207900854569787651859762217709409461084341736064400
19,251,370029,10643671073402201542860430507250689106135208708678446084357958834688955681173
19,251,284386,47020030027329677963576651710599460060446414796049277428671403403902446897292
19,251,495850,38196079225392042316627820963401638873829110648654066617272953435015685425643
19,251,339516,63308250315449887159013274935473442406142576244020491137161050705207381869538
19,251,408563,114090112878330641703104450567754017291903005882167521087035527784126776155526
19,251,333372,89069808863135072066444648285798139228188561593890987316796936609099721016102
19,251,300801,55015124616741457662112123173078461392846308516876490465680076758868129075665
19,251,461624,97999012317396745261053003596159736874425642340623720981590234958919610588245
19,251,338014,83135817305894062782947304749880073668384284102574707369785061111351822812089
19,251,398196,66062627561575075115620781012495431348169399760452317117661632942937028257127
19,251,419401,28592894020594570926944928286850288562128767824280765788408965570197139293709
19,251,327854,74899877513274940597390331673342081656469728907608656831138027900468068706805
19,251,377352,29240522048745374915637502058194362951154547458794846250047992433386362226302
19,251,454606,66881553821301906457619161144554560371929486692609259576765531667618821544053
19,251,306292,60799547388183431505523217859460794069476173824797907204028416509147931463230
19,251,264104,41280367216193403671866414285644854047688842000344547985648832953084892753143
19,251,444082,14643765309551865874021011781071310637214163827765460445402374480734359578979
19,251,294861,92090827364603248514996867887707105699099789912058123409840900411569137157781
19,251,325785,33471073145510812565066127988119803968110866691111900160889205330447950342223
19,251,282253,52726501241672281733709403081456516196869342619733304217730833676115094910542
19,251,415951,49515481796890074710508193437852758541189330741914138095901405428015079214574
19,251,451534,27436427019765448066305773384250823970209143538912681727054972392355262040905
19,251,333329,92457508863770093619085403112212271785861727321330214832307879903447460949858
19,251,461006,20375038058553098289516438429461433322412625493495847694832971277982647356079
19,251,414709,63380928240707751172325211833749626681287122661262833302010227451968366346806
19,251,363014,37843110879365714954427558304772648728268841604124858622378347684679291403089
19,251,371066,94490558539835031916016641578976070076196203938324914136853094436362154398066
19,251,375475,16784880171541756000362903364556384360981938789044545914646581070489350782881
19,251,445821,24562335435398534096632605471977048589060575339981751449228080101741216022287
19,251,397291,37855481578263290573069236644101617142449637766589015575173702648419812098856
19,251,419235,17582414720561052969164823501702131464112362882853552287018592353406769310790
19,251,505987,33047592734296564777098704842495470891769168790381702121935116278590607073324
19,251,483917,113532322474293829041633494881876382792568354425135810482659095831246087097620
19,251,366188,115397637642050316378385453137260838568859590096314680259928422452258390609027
19,251,287328,84625410595939864069270038009225703726244683454381181953406380688179819476208
19,251,522660,103051823374436470490021220454024894258652541151715337121307920466807600817775
19,251,508911,95162823640596944252478408482900742298488681731096785854494719421372439189887
19,251,509964,112867668666937704762344698755093001629591409806291308295810131314723064216784
19,251,295578,75508855469825665952670648153507832586894275619671442588569299805338125906631
19,251,434085,102199734366736733405002779894561915700680829424311823896596234180883684251408
19,251,414187,101355313313825132541507966472504684324037464692809150349264725068802582575098
19,251,357787,47668133108213327288485492839721305590787196316038362647866738238621061032838
19,251,265299,106051950004101045553339504103512818964574881865748947290615568589607159010852
19,251,410757,12838320176760054677379764982439637470045863813065267849820147671306099944539
19,251,304434,111970542017405680145636377212107135941098752980100405325908324800464755657216
19,251,270937,83298878403836572427025250655182902042485954660118331861293788773777255105774
19,251,481004,115508490386686345544159380410341432575349535508006242720684412728675235488455
19,251,387840,84945482043789604973793995174601440686919029714360876738774582997517213406246
19,251,307235,85257033239555601464949107193377410131517736029404743559745890882666453071261
19,251,289426,58687167167319994533707225930633862517698587228806294506521412054285810819336
19,251,428712,91670836801045233081931829824971376207562745870722600991632016920771177413638
19,251,428099,44047605407135406203339813174513502170182498935537825774571420241248634927742
19,251,282665,1946866722329771358791702544395959714242561098307956206149631382507558271513
19,251,497878,97989879204050730981453422457849009193484758366455153484265682775438711370023
19,251,501396,73055350459572862281842507277434472864041144284087035073734597419783849187607
19,251,515088,79621938959896049174531889044451220943431932717817824728627433770336236331497
19,251,362722,2790692194745280206979858950054701087643300823777118874494159819459320416748
19,251,472613,4409811113543471106922036167973570977920539031959699475093700547877481747692
19,251,417073,27905445000833588131151072823085079713286024285164732733512320526377040613317
19,251,478649,34365706290467829428259437936130688473075071131897275141490526922851453621654
19,251,479630,72105101798928505128184473369782012573984693939929860019022454175063316458469
19,251,296276,50362355448494270116078589497647140827812885831917503937986365794907487878112
19,251,477725,2278757493411821727676652152726225026584323702875961019320923309571094717649
