bit_length, total_bits, random_multiplier, rhs_projection_ell
19,251,455512,33032922278145610807888455557339580766272675350507465170721746491261156000269
19,251,354173,76723871674426350928138215671855668300724765463767230542023819885880634257109
19,251,336437,43049336521444562682724306683820519027552298562761200675757341636276875370960
19,251,474377,13585095999940355488841086581174587609579271015402392511572260363677602338464
19,251,460544,103905885106189880153183671511897619450221615692947642019192899971117731815508
19,251,480496,47233017600645359244193120104370951633953508612892726997506010704106930732972
19,251,521704,97894542526523482088415138564800820343811364410772296459561121857934740077949
19,251,292824,21896826771087069309950495910936765218437240251736828524382087508825897595034
19,251,446558,2827962071114851862945993718523054179460370328864793044716299044530357763808
19,251,417748,42130453770392258321428090597496441867686671936318131214283766225635683967464
19,251,458510,35566471591421878331763112440493925911275265438453989887218744148489196269639
19,251,278115,65503845281716899881507944566753810212727460484651965933845539466243941350391
19,251,378702,99178442317340364060533344392789167011516133589720611209044674933522475149481
19,251,436740,115691081465336538123680161521872171682662070375381126027952934203408017227351
19,251,447111,110715094063739494566270200051607784736056075165679505288035231550727047186250
19,251,376562,65641195745535555484255198218053993011846196666528780547500301665247200542195
19,251,524257,64127467945142389623732584850954129112634516492198684841590511866958540255936
19,251,313668,79834220981195884727859374394428668361570801954437101136063926474001529975163
19,251,408749,66245414707362212838465144015579867005905509372051493225243324048459957905738
19,251,447799,69727696370205608479346844894694903256467971423503858856699361445955168927858
19,251,334708,88568423270285460819187881704075207440209410397974332159558390827830731663456
19,251,285661,33142481899625815993729334424198562496664039273648526504576928280784379368054
19,251,264031,71298447123224372401145510103553037515790579344181759779764489168367892638660
19,251,489218,2184638302574831118523036576662203157308285411345180267822347901215001659479
19,251,399538,42967022110183592056157351768685918822538055137879834368479124215894538376486
19,251,423434,10664727117088160116855329830092132643734895153233103875710887564431793070137
19,251,399776,64610812526677461963068542233320061352058403698313181249464496819238459757591
19,251,464492,67611992013980450784828067000713756438930041196050150076817832394392373299166
19,251,490311,98493703457771475338510532889571084979432624155740369157004386549752598140326
19,251,475463,14145137754288813805983330594284107235629222719938830021958808848880548905293
19,251,303704,53374850718049699422006383493654607283088819394204033486486170872411407089044
19,251,292795,112832631668202283714519603750124223995504277511349564475627044232045451887853
19,251,486422,20761129175771752540802703133001175953429622966037225390296380581442376291031
19,251,266890,54378447460287560018834036400691995664188789262575819042868069528586690861150
19,251,374481,70106929449810598741095707442632225013799732942264302159383355082230922412344
19,251,309833,94414659424718555526633231447923429764783595875096032125061635298719284796999
19,251,515177,49616575290106065615589161594535802646105094143402795421491651470521639261208
19,251,266452,43136061502136980110445205047093820206169718892158704779884713599764826323153
19,251,323341,2163870366265695831859597773607788679814179160122901614149607411751431051723
19,251,372147,52043808279419133043222898385228464037997543652228443863947310195211013586498
19,251,415871,11253828826666941164656774695672270747499040914972788304309920503712762858681
19,251,314208,100493735000570865586575536835157578399583351895418027841933132399012451699078
19,251,368110,18739279757552589057907014421918075087314441201937177737522392178795304737244
19,251,440050,102269433222574032305012585408799990383738116267927574904515749781960726901416
19,251,392464,68481952962378834577999467580087002856917847738414415136601281368998521965629
19,251,476415,13614999923476606738773308601439524370794303600056721502998692464277388060368
19,251,377822,20967233847186654647783451958471051606084305655232155742519370640756662247730
19,251,460138,67564886021494951625869690283016935028023859734896175035210268455631284141368
19,251,369013,21430818360223150464476868478494681712570966737567273872551581727427087573873
19,251,294643,10534897115316294068125017178104179217445751011781757392574672366844032405377
19,251,444658,93307064503046670574348571456575458454554919851740447705636207402657919204543
19,251,343052,79545960882898004504324355993571309129872210406964837542490945338338381396697
19,251,286478,108114888017015877017016032938220710053337891991793883306834577211559915542949
19,251,287348,98553072783181892272117446432703317435484258116423260261698324235281704123548
19,251,344675,56275790926102021905396637666563332563128281430201721874262374753252741051192
19,251,443474,44741704739752397471840596313896390506255886145919162871337268855530590920601
19,251,336552,62476136576071385820167426676220417466210995759833926389876845477620174464070
19,251,518886,19867101615209485188720017838905161882389177907126731952566938415682596548487
19,251,463256,74885192276038198336681283061614485669538063107985360206353978465694559436387
19,251,447149,43495210104491714571270353861385853202052829795607123464740933662167030499730
19,251,291931,51607057895381509477706955721649433167428470366420150281740991716838430451402
19,251,277480,110296386340946515713867136360918161789443374731638573653118510170936220577864
19,251,422382,43484048795280290736765236465676774640341763692496378248915565502255346691768
19,251,303815,81624289083994077166528242235300706708121638935896939686151037432074275505675
19,251,465597,96292341337698111780928497378838066280898006521286222151007746018640104271800
19,251,471693,51920600988343429929178373120861711452708126130925265732404711924572304893633
19,251,519155,75208907626315754872685112257649377982181109864382842904142866636498703748462
19,251,271313,11361135075568406314157481129392131389667506027196580681895095236749280043939
19,251,459523,96966412596274394682074378072979925494851281435344958051658618681573726949074
19,251,305734,110487061393724845034455866297031606097336496900557116686053479177878227019223
19,251,313527,70238309611201662203604688092361468569223745857066820383113174302510799137355
19,251,383668,80779084267429703529899747895111617291242165392620638339895550165676305092606
19,251,317576,31116246771986532797609340146371895720667636950859479925953091073233251254506
19,251,356600,68597699405626264494992561752861532481762983903929277619407980665589584341365
19,251,476643,104578262374822970182902835973163144814727658603899386055883297176247536194571
19,251,440527,63252835105559197614362569825844019086256820336233754456633691980461420880617
