bit_length, total_bits, random_multiplier, rhs_projection_ell
19,251,455512,41343356991881682780862822571504006326829378195641494296973634174223412507983
19,251,354173,58691166509297967112507672336938724092021251016112819333415113456881744349560
19,251,336437,81600226469053150805407040434390905544768404630622802511561304607969716572064
19,251,474377,90732147119998460108815748702934315553363915949041252510343012938173118678779
19,251,460544,69329577635213206240469892731792425597903068737455866500622227098615425486723
19,251,480496,76387060776234522644555842650344134106445047272524728327504754463928727028697
19,251,521704,54341387424381306461163681456987708120664190922308459896639315113721886552138
19,251,292824,56780832685741502271928938676944801508668879005795618807313310671010713831640
19,251,446558,62749291821594595461576940264710554541721889456154689491561794000458726411009
19,251,417748,22316504661167664835194066764575594081000181390435721459722215048803490300338
19,251,458510,45682347630766861864871018915596263158004810945818436886848670001861327622384
19,251,278115,101905024690998396080581077390374811131875537338645601693326804217139944944124
19,251,378702,83959332065563275803250920622958464420357587986718308370403049288252429021282
19,251,436740,61040534708310642697660722230899503431107464311033194286836302845102421537553
19,251,447111,112977625916660796482506728422194449080020694303517771524031961012185342170462
19,251,376562,17087729110896758585658498746693968431556064261228635923804201803598631625225
19,251,524257,85438128187283740750156200450106863825185258863593111247140363672699855710549
19,251,313668,81407260762362248038533943872448932795598993379171479734839000432060393030552
19,251,408749,65956784966594417226753574441949570972497297744219843799461280031174978307763
19,251,447799,48563851968666680284121261043414874696987765763485399489240265761715248817221
19,251,334708,1894064223933535573270904215640172080939203617876433661402972612953204452943
19,251,285661,79651119819086299837834705952496640982099701400277668252110886298280996930328
19,251,264031,7146900306242845116278729168074928907630959038256969116905375668579307874582
19,251,489218,27231736415922438854429565236825959759281728438206570981870771589167627908671
19,251,399538,47818427075229923676397478784883097681138173311504997896708688127092467573952
19,251,423434,25312192024248591105809390897634926826480964299646933422304431396196410218040
19,251,399776,79006063667624885299074452633176231558512034350415525850211449399535981849781
19,251,464492,18561343757292839366695097714558087722179339357595591827610086474784304690856
19,251,490311,87884717120034708199614978680772548417613433713574091904114913709030098929436
19,251,475463,21618307507028454110473798499668025247977572447209933630211717534239703662475
19,251,303704,37085119681815810867086463466645484556643178322771211745710985740515765802677
19,251,292795,1102007961379614104325282283135018505326087937317936308022882298901418920253
19,251,486422,93906833578048373739940005145212688851099833902050539691712463404700308711820
19,251,266890,28218642539580570574122009294270918716144905402799592953481679689381609911393
19,251,374481,106533470485401138408753576443636424555432735254834984552137186463159624840641
19,251,309833,84519621298494863311384890615685324764628713739696523156950987782286635995357
19,251,515177,107222440817235743310401879631933556303286299230892546847323031476401369657733
19,251,266452,44831894491120067707044081892480185339902770911208482027547471809034675639924
19,251,323341,108299908786657938064004859930281769356116308524643375308956590309536694209096
19,251,372147,85360288391551857823640470605167087878200035968835619644803302634460485992296
19,251,415871,43123269097978387711854787587079296957600062292388538919313486447111849688233
19,251,314208,61086959376204412621240615626359851981669724635959501890711001648882971909550
19,251,368110,113314645997308421719511862701133470780347864717297276989583565189051865919205
19,251,440050,60299659049890852680642729234971748404705430919053797423196570206299632465043
19,251,392464,86106640181205429207950121168445716931992867976263989276518669132832506018238
19,251,476415,98892561856025502997775693305689505928432816284887818865676052497681257415328
19,251,377822,67813070578696524256095096574093484163961212921780631952606352755283369983984
19,251,460138,90159335520136758013790827140751112921445300261357727826617785261917267331826
19,251,369013,23729109092348447420095556841874302921138266634124761534633104992486812764961
19,251,294643,8999263679982382896492680159997742783695738809011494882813646551334614222750
19,251,444658,65557798519376054896616182862109689755076735157020046257841764865006916666903
19,251,343052,12129788981063573845582866827034061636188901118990553558537755022811568608974
19,251,286478,31016649016827107715901709504378674228749637009841083657403211469095975634979
19,251,287348,8196973463427777961656427551093199965233551308155803259477189084256492646026
19,251,344675,82905091320533075270239014266890064774470304028622951473368863451155979545259
19,251,443474,65213703441359080706785168805567790281724057193337223828564900484317302218613
19,251,336552,110791364651933356382602110880280308685910756537889921350962970389608519138531
19,251,518886,37595070523943969267304048675760292231309749143263979430381435716920686988785
19,251,463256,105467793344218585271665083791090790225218779095300076877004399956486280508922
19,251,447149,79411571485994646537578685456417957150628571503258275805568900830422864429506
19,251,291931,29640927739142212059055233655062930913660974955634312843205313452710030289307
19,251,277480,8614284716182351851852568549691103720656263089303991864096090985731488360192
19,251,422382,102009944000008641048827763999551060000041412362445671332735043017497542542214
19,251,303815,17485869819229327978863044248880306482408212729672517876736833760139560713946
19,251,465597,7328550388815380520764830835069084266335070192971404873835292381336321772598
19,251,471693,49726484143659268364804410393817994826999927465367609302549950171368879994839
19,251,519155,64177765829411643995124789501061778661547140072904069829214020635740911620543
19,251,271313,59965533349235565240928417523787207530563661406201845187621476404177752559277
19,251,459523,71093706669613667161188305515120156510801339598769335255002380672319300091526
19,251,305734,940898810096068149427100050276367718290466108068760613050523170191261086869
19,251,313527,70484679979831471016231197842690962394430310475514684364439648126817348218287
19,251,383668,45635875423356084093734113631735244255645897946271143983176252403707617645108
19,251,317576,70689957803625145846039108046590113062116779913147207925101917099074616386728
19,251,356600,15236398769074254677903596324672973412361849734871806206541295966688520132338
19,251,476643,34466365838722271793681406721792745687480571890905578127938592538164874038912
19,251,440527,2836400940800909993950017331747671060972195201388028973694627534178519441949
19,251,303989,9946351666432656422032366370201820926828845657910531095756898633926084462945
19,251,320928,5267847526044262845331273351583035958502890222166835640176185518225591295227
19,251,399471,63523907431923566395948834255690331995793290436681863915576660655342443176233
19,251,458815,51869490434342730543177345634143530151788465313065333871631195327321297575457
19,251,324987,40510200544610317986450293503394409950029468226704491849515683121223096820399
19,251,415638,76206528776870735551656768491028582414492847864236945295417423086606422766841
19,251,467687,4106078672364499908807010235720106239785997393748412883514413696482065008526
19,251,440059,73988418545645279701502086552920943201460466399829334698643211779873832825014
19,251,521050,74543732627165541130334339909603441405287877963834940661258285934260418436112
19,251,333200,104080111653125070568195279539875940803497918431653011132206973919935366463324
19,251,411463,105155921907760154576989285198729276646914544008837555104085176173105534702682
19,251,503641,68494500439591854699771172828070535639743141959533894473156632176255364382156
19,251,411113,32552520238580664452075245293200494678216020827045932254842124273854622690660
19,251,404109,72625329143016673730282706912328738336160913193945413556534303259065928282257
19,251,508101,67894041697067092014052323903886974858785136072382509054783012035093386533307
19,251,422510,113613426575609697646108485862513105001526952085506483718482557530943605688224
19,251,302485,19760737856909539957589491563647258543607654998434370602414366852748274221276
19,251,443466,88398586294139055809089398290283406647460387544269288212737885758358102506347
19,251,388811,83662586803356442903455316010815180543910182460409224063875302710176694647245
19,251,451692,77210696565894622751293630484940567433466044450731398522797057567024848162902
19,251,270910,69163019800418703313499600086479059661776270387459012054646521321676318224494
19,251,518898,79313954184457353378692050594257082873066053495915115480543858653913986119029
19,251,322968,78412600871713946997638526129455549082575760900429526815339830074765247882703
19,251,367412,11518488914940710850383430638720437409106887379307922747252782731422413232714
19,251,377138,109204147587138443450032568253307417193171010199709567289623840762300626950184
19,251,274630,108360183332280729635162127383035368637649488365696865628483291402767092931209
19,251,496746,40488847528287269751020441583600707196263370066406296269165063000512269702361
19,251,503241,11153146007778269791526551810180604198744480418469650721233330613051425280625
19,251,463656,104379070022113397329150032279275399448886951169068711160341412737246996078900
19,251,479400,114796573521556137198885435536032724171256448003556435309470961884480970325861
19,251,481341,24973985665811064786234472849690010024887071342195684888480792653349005185271
19,251,355494,90764806665279616701802124315753926693464186492722560646102592657265141481381
19,251,288344,28987432744024257758517300075159141466671551666142827917360125202725428517351
19,251,290600,57980152370862030535202714255012380871208132130868358379414866180140791633007
19,251,515239,93690873079973853193903511908762829879249190040285532982466056715667782510313
19,251,456300,73076315930376488975821593080914348102762983663972799261999055875112994596071
19,251,472449,75090915545271670209519508745276762765726380919258374963812562786300894544286
19,251,500910,101273559471797359272017208444806532317448800766912637654192029808704221550642
19,251,447135,63556901551906482279499988593930674874281797693082334901618657703080843502417
19,251,496337,108485406796030618127238628940158103263907844329306854132073331769703582840201
19,251,371519,108417308526578866670062897605741137645049243941162112890775214061793533981230
19,251,323613,88787607647198185106857243210537387072615424752510086508882735666712306105305
19,251,504894,77713784582335305945866091501393626239857534435653563165420224194353574918400
19,251,419490,41468897299359718905364724360575480557714389641794761058976966837357275352487
19,251,358172,70483696888759277829693775257969839893206906409492470642073760388351284538239
19,251,311180,5498803268071462892656423278492938795970322169716066882982081300618914949330
19,251,506167,25379482744590752271184431886146833142991443840864854831047286809735568889483
19,251,325167,39301065898332472242105460666971903947203502803551368310341663851056127979075
19,251,285497,9685034662278556937391219142162160614054629780959538942406978735520793718158
19,251,437951,82623338812904244338633538500788528199843193238074914320249793291784187757983
19,251,323731,20314304127392977586621747207765508264499329869736917148903756225589544683669
19,251,421116,30207819997936389662477185477358384372694761942139974465053939649151893862287
19,251,321401,57839875014639508169944628683332120330100343966989511513033348610280414419715
19,251,490455,70289905612163437854755579449820255755802091316743850117523074217546261060700
19,251,375805,98647323803833654931983749184569834518228573552138027203681406069623113856059
19,251,334019,58936254585745144335276907165590450869136830205096218586422844779087701528438
19,251,454912,39761591313568753962354272864925726389485338341984432524450516502107437155279
19,251,519151,48781299455306411915564204481553647329392585485826103676468892481940251602484
19,251,287726,9340681742788319707329284168418057813227128436923039016117344684637203777716
19,251,481826,29627080626096066003936506310239521323601892869027995343113044406922180898911
19,251,369055,28968573274787960025974928981169635462722411050398120431067313905784444072312
19,251,303486,80971776717622273403769388678595600086869462464615151565515465943920740443856
19,251,511902,19079254870160336915222310076654056605248088219464081662743325519542999982006
19,251,359635,34761429290091398987021615696446912372977927399006141093967385845126556253539
19,251,371137,115180444180477251650535782046733156097577052021506938393451287167495668505148
19,251,505002,70727855976006796290806344667867624115915918140887416817267848313622259298862
19,251,311186,68756073282175248053823911087873547361814638740030145958289956157877377671534
19,251,288791,29013122874741722149581720991971407009865200434132303803396207742514446170230
19,251,316130,8268877901468214519506288695119987703088115633192973787783315220988088596572
19,251,457285,41010698155417380335607620484815169760596429266799971840752683770741716397869
19,251,435169,103558191868358580221284347845392510895532219071340461593381792502991225331263
19,251,399367,45575356530033119929548283354161427385919690065639691212596522882718716913573
19,251,459109,86748512798851436427056340875067976121159074816168189487634641433625469106728
19,251,446475,61452762390559153316049565900556838817638447684633667059212657858234496181385
19,251,300177,23043898912582611211702180246388298523670944869165231399860158173945734674041
19,251,418485,23110146120105512527584726005086935206459141498009375585776571836235883350705
19,251,460840,42957176319031951259225467026032869924244767141682565841806169652056373606851
19,251,316536,24185371735114753653518135257991107055973407696182072597604813629315011010807
19,251,382733,40982205346177516939792557325332126168169497368417338166369805753807940903075
19,251,280789,52375972047750095627312138098410415203062740929050053154748021156505086922468
19,251,409204,115759378259294265031230083248006973904366527587993956272289348152572185260031
19,251,465737,12635975403106144750670796203566437291124197513629440333364648702744696015028
19,251,279142,88383665627019988545535163621908159937558751591511433563704233431647797848568
19,251,501086,71132119822578396786421150755570914002738047811870946368230286451209477312126
19,251,399651,34441635174313144240161346782343923585325973427939230635625222379576762534947
19,251,419608,113822769556698646086056818697431129524922926480711077925028016832165116169598
19,251,387202,104840904166131754815384974371216292512133794600495827383816615037794661430157
19,251,306095,88168948872198386321977909307182885829661754994402000398258942935528985072340
19,251,476688,56802324161664779610719603376286216369076349698886613533035018908545803554258
19,251,288972,73261609038005132609214587153403743125054075362446180868086141752110187236299
19,251,482302,99505597127990815453048584862893739412797754419519586945289473652049027562491
19,251,303739,65877691113384955464428637026111526199891850477232107141818152904620518836140
19,251,393304,20417532565188931557294498707547544581264891431347242445390200592162622828529
19,251,389255,18595447169980504802641983360975915052943728722630201017538383962591662889894
19,251,298192,42584140072355992604631826207014795762171411119222066646615174836420835190530
19,251,434357,71405650655134993288578014115004236332642203501432126463302717852259769967978
19,251,361954,4931766864368603871775784066786636392691733520003514024501674412861969953253
19,251,367849,22908472482415580190058728214978114564782268816480155976112171329666533268799
19,251,346278,57103367625307440225018526611984730280153556879499782996291022032223581514200
19,251,341662,58150724955159983343394924642904452847845284995801813615708006828094798974237
19,251,370446,101099188172111119229564069596359664801706825230363637586988354303420698112976
19,251,337941,30386042370959482663453719856014655309656392170901540659884458626152916515221
19,251,481954,66257488411792564581534122549084807873247267557757725677711802535105705144830
19,251,418658,8902508136788495238943729795865020184068756749796070371663497632624276609013
19,251,406563,21664431015547513379069621302101057553761477608328137098493348473982139915126
19,251,517605,105505745686165630773566089349367959283434271165894878290342271090565148308249
19,251,320116,43356971649982924666789143914322456748967375513873815723851323333098404995043
19,251,461174,111579907914246527773907459787180774981520229162290120908429447455006813564242
19,251,427329,58389700492453840416199197933328484123716516709727637247061413945411821202805
19,251,476675,75371286566007528206671962052911255990228501399535625873158314761778991835451
19,251,303020,4438609364660675873040007253538824817364472222406147101324553485454770752650
19,251,428584,31810803356718632390986268444431378158669862656397121572144213557750694815724
19,251,456077,114839686579039527768243643607541729906692954545697487648056518471876654058537
19,251,325582,15584355522321503079443172460289441234448298582155169492363746689055089625842
19,251,393943,87874233300257530255612781078687329827357769539798989993907027678406853695003
19,251,268564,113336934231272015662361127039521267846866156010221435392179375412966672064594
19,251,341481,83626903961036058397601784095829759898218683314980898962668125735374344600946
19,251,322503,48954689296741747195596220549494864792143176153334028666556461221254829191932
19,251,384884,9861633332566399209427771812092532391009427158392990705993807455260046416718
19,251,279145,17819819801390392847193560100598234578872013217047980883623402196967887260097
19,251,285404,16396928519428120953522958725133203432848052359789823405807802007324604600735
19,251,518528,71614470165990163214961550167797925240251618520723239424060514283048502715866
19,251,503527,102076058866537266031015274047757182361595565394035060329014160593572190969803
19,251,402275,114200387870924093362224576253714923234485698686088735761491608260820432768499
19,251,348148,94574602530682419321495571479183048206163703630568916770260396736086525731290
19,251,360318,89400406859126825370230868341286256575091307033209502627860207840344560499119
19,251,370029,11367670961460044147488017565131597786258844674942433689762072371618426493727
19,251,284386,77197403802134997964686587557689648676430490811778766309013024314903307496152
19,251,495850,89881890488113726329907679781684989429015724233170425484199917342854497519384
19,251,339516,64331873681948646421457182349513107768348546096721605850692947729842948245547
19,251,408563,71258610672792134956995694580394980203043395469987231138162167997857027533283
19,251,333372,96107220407899558706958184145760179752049559296185488525933373717537187749359
19,251,300801,51431687215089624172261791641866694825027615402108764528650513894986374237589
19,251,461624,27066282347648369992625044363879521226822274237227431854476523074460450272985
19,251,338014,70771075176429945147864945364652397418615784378343295982510253016256300070733
19,251,398196,6698709409567611656039176789436658537430858919598647954328286498062087495660
19,251,419401,6907351833695946331159013040530892590951058193100193614087640718103550418224
19,251,327854,54814106617604176945711488899415854774596125463580807684016261534882371092058
19,251,377352,47075695651955816108868792286220025430028136388727122212472795162671715406853
19,251,454606,91169795494156130494513369715074312882548942451561792764235925537167825862572
19,251,306292,13985352367658252637125690881636201961428606266949875876384897897118415580833
19,251,264104,108545647049689879473852897311609646107393625815995349464628072227979032300714
19,251,444082,18052897001567599237493010631392592798960239710585509068449467705624786904006
19,251,294861,83997241753902801188347732598943010692353651810990706140205254166133053824469
19,251,325785,91842501487455627465894252130413936811803949193936544263572630649404842935575
19,251,282253,23509267773582463611248727475266513221658549190362609002510831688844739713574
19,251,415951,85045808556728025087795232226584734165422838236717480614170212698099288201374
19,251,451534,90993874103409824868341658009556725681242481446875496196664642732701510717049
19,251,333329,68036104451928710540021254160848698618364666889849409693966096021226729936956
19,251,461006,8674591325102525942645317687596431773923431561679636106709824409284341990610
19,251,414709,49688024448506015252815123210671105983893313226456739562290527578923780569886
19,251,363014,3530920826310653643798128896460830980604925434665311491698600169493107336414
19,251,371066,79541070329663390406108634143020220812577762202902788982994775001633746094098
19,251,375475,59213839240987953715975407720730424573226990081919801978655395231021104089257
19,251,445821,107811023944478910867364986573346157778409535430392356491726102330966112721962
19,251,397291,3587114038490313300048681859313281478945154956114063410917108501587128045772
19,251,419235,12568580045028366124152114996025611483129139510725461974914408529438986687463
19,251,505987,44743389240326989491447474312840103834913195855813946633109687572900739747377
19,251,483917,113779205903359743712431852289815396165650108040599205539436618228305002168195
19,251,366188,76805224182187534003392351791305497316930357127987860876476802407341446883934
19,251,287328,33758704728510978865661197445070819971607775069140137727321012746524322037894
19,251,522660,109564327794338908323102581329592229342004974141594485345349585381376474149525
19,251,508911,115035577163876757314259842589610471904585117242699589968623317664069299209869
19,251,509964,85907022447098663015916455787854427965359366702750285072168078914691188769408
19,251,295578,113795248151683375013696179611772998066539249253394331480150212318215571145903
19,251,434085,4182593844523002822045635980462680255219379458883473855770028190301623534541
19,251,414187,3776167964453179160397554862899330241622132774230265450594060052752945438409
19,251,357787,97147304076575946152432417782109922558686529375823899055856872772160191342063
19,251,265299,16821323135748089581258814448127056276511414871989135033133006317573944476535
19,251,410757,16671185301182857056223164128036997923860981276666236701025502640953688910455
19,251,304434,19416604011754006934299107087113010019437011923608997646092613865959903996574
19,251,270937,100113781522496795507871815692952579687537445306354680574557129782340757083933
19,251,481004,5070367143326988393310065495995199097790815401099001976471170032631641687419
19,251,387840,62057798053546126574446098341830359900898245068931612265821223187809391353819
19,251,307235,26921026044116213190490573051713425648773784434098854658971599746051727697794
19,251,289426,15068961583195884468226514874275666331802562392426155773419498696697009154705
