bit_length, total_bits, random_multiplier, rhs_projection_ell
19,251,455512,53726824594064557097564525675359302078293408554255148845102726159603051127443
19,251,354173,3095169422999992766001239745452103026297769377874097251868942150280969683653
19,251,336437,92813507977460576972040721162071604629048005323994335883413141983457824407402
19,251,474377,76745383433926389884592015143062085648019294329571701076734220386613302685504
19,251,460544,48889397308657842130705310989571662486538423560816240174675885982869725582679
19,251,480496,15172452092819860183057190517472110756941682027979777130290182060480862536521
19,251,521704,99620749360524615477943512054817650271443125795941799702393882123997562895442
19,251,292824,43948529170614077607746195323177563976467893391268103918397893823884958740977
19,251,446558,24472396935053291741530310187417684773496482196368067211306847477789443589497
19,251,417748,21961587958459916570616227387375662779555470307867863310170223337733132950511
19,251,458510,71872505729972178113989075796732108655381778532445986627277711360656234603743
19,251,278115,43785500995728725756154589928267504167949420730699013264331413316209047877119
19,251,378702,17649377143256140812979442339569219715260424845588578866901824835446607584115
19,251,436740,51767771795937804971727965443562033485046699378042017119164893010707344151377
19,251,447111,87877239611140063560397234353393613139360989586172728428374393980215796448673
19,251,376562,84753936736130564119993801147593730108313401157529285075372515369876803700530
19,251,524257,102832485475728083601096232250155216910055485191119123120682323590432071053150
19,251,313668,40279391078819560083236975501006226744118919843653134249322313953910900536055
19,251,408749,112175919412991716454915417264724515483286657219442939125888951796988864094041
19,251,447799,35088751304696783020158709532716943202056548221960948758470768085415063280995
19,251,334708,23069090826431865253840392272873068423702747893620516543337824184210579490578
19,251,285661,73374232522097979987062820661413838119446151493548312021132717368870323557731
19,251,264031,93602810443853815884669401600178499084281869227550835162371345116432057925133
19,251,489218,86982576392706042535358438823344810995622512810961406708861885591361549239379
19,251,399538,67880736822425845608499485408585883315516016047862914520863553273392977537882
19,251,423434,51475391068967519865409591776439939907691538809379566611462879414496518984606
19,251,399776,93443534565989498115959847254616343223294091641571137533141019402329063460248
19,251,464492,104551345864298734822687875259118021826911765594785541974512493235998657220736
19,251,490311,25033667785561016869712324257484244186330664477544998675987799468823088111901
19,251,475463,113299761912381245147190223009674466277677371926322353688324093931261692701718
19,251,303704,24531430073704544325678800003679603488411293915838456052279385179219836564564
19,251,292795,102363166535536831640219912880818075048090939888329093791813262651821623345183
19,251,486422,99743855867370251229641785333639607063965440664363685075018949977980499659101
19,251,266890,86958907958533319479644867199525145348341170067858055975479974223175482883047
19,251,374481,1317415196579421695015960611463590206702768975068178127026264728969742286098
19,251,309833,64230577186315172676346585471890778917685650526101493066813913557175037758809
19,251,515177,108193359982283888413649890126662310725808054133851457841375627778864403659753
19,251,266452,7887456586515783199810776091472436742302692612099355426170001550667504390988
19,251,323341,89774734355639490613958997674048340090892406210386817850672212491747820812901
19,251,372147,40498875232349797663666781229050305236863593339218707965817502869417030730665
19,251,415871,30247264964397014346449023032640497951940757648907032812557164102249784106540
19,251,314208,20757014578834686168764712317845609278486519816343629111326864695549187733883
19,251,368110,55014588991298788963462763712168768845914219780963220928140516232323814039199
19,251,440050,17684005011084018822756735068776954496621921802354367148930272485150584612013
19,251,392464,31804225264661243621657308074557194007348698987006173795486157927514093828026
19,251,476415,112560131057642706105609948639498880752087433150850655065818336850895685755967
19,251,377822,72525035966673460578434371501370087717915824679149324222773677252408273392989
19,251,460138,35588407292380343953984940583626877162757927155841100191444819010415832848848
19,251,369013,13859816633157538218403832526549863469252457031828138044450542015927613909036
19,251,294643,74341780267275072862854888015892783732905366100009602580208478084716598466757
