bit_length, total_bits, random_multiplier, rhs_projection_ell
15,240,28469,17712646606753952311461387502286955707123286977598363769364036069292329323162
15,240,22135,99310742461978834013170698717836569723229395395377347935184095646931349147855
15,240,21027,100678498881230663072860225256997133676943454133100622810742393471988485241308
15,240,29648,109198491455274220098171082090992907939937018570397414559568277607208465970244
15,240,28784,59352046700160328201358587544432908733639602365440702387291053285164277878057
15,240,30031,42899575176359573038430137163135550185951674325259631021124312804942581773702
15,240,32606,40651740939615483171328583430209576350703732890025901802612374612234597296262
15,240,18301,18427217033118524244486935503559850889750866766354670447277551138440401792878
15,240,27909,62245673073567124277925814256405530827632869004354744390848895204201686124955
15,240,26109,50488468824957718707909450998334334224711745213214287711315196657504277633721
15,240,28656,33462105479358252232206290128040237227464902884882559688170367711684462178619
15,240,17382,46400070224805819522175422738825682585854017077085656994432131638336248141420
15,240,23668,29977236981264848636782672897747144582221217846356155907043095746400391485823
15,240,27296,56945090521201409779084050236325311263427722928520228512067845264592998556434
15,240,27944,4812150688826829840798749385437823539203456972653439584159169645463953794391
15,240,23535,68085196556239254837617367935265195813436140543035018491958895591439170337318
15,240,32766,8975777287861792427797416984071304943322428403987930600892680952071777093303
15,240,19604,26696879763552472777500360917049970389992897501751054056061175897729215353992
15,240,25546,6088260064548529728084616637010410307905729621585709647245198210042237538864
15,240,27987,97486682083024443975524330430044275760534153902999328453150434287208635212508
15,240,20919,55026815342050962562636144022645275759679739490410318737940145445879483617777
15,240,17853,63881789703218637469918333575910973632739435542733417179805020495757280889124
15,240,16501,90508882734035274284284613090078986785569914497610738342870098914289732991158
15,240,30576,35692600159238153350595794332000295580948926697616370127884822996974736054863
15,240,24971,87326935691393128648834257868863828283965192740186806002038930359373318933275
15,240,26464,52853099437267720701885940422846175167285344701604076109695497732236254912859
15,240,24986,80125629701268163453500414041890881050178799856913844586329513393405458054850
15,240,29030,78778247392892481371366432314514702602439261789191092946799877129350902402163
15,240,30644,1547231753177593989578693208657603059276654621980334797770390803206398211629
15,240,29716,73229487347726739508711237856661914947335467887807864958852783824215287731876
15,240,18981,10196240239746130600898982329486607908368387516573432847207375180292756372242
15,240,18299,33826947589046318761257661074125217822336971391365196018023034941175940554253
15,240,30401,77058458316887015151072622306233259488307926825315832051732452502195984209854
15,240,16680,7856880522670570850394924459924675855073817281851799779671106416515907849220
15,240,23405,65099497775081896088245390210667264219476357466651110779164908497393952899249
15,240,19364,57554165878370100573693074811521550034197471846968551780520755079402721693413
15,240,32198,15486951884340984917042657388218575938724456141093007987886669005833043129332
15,240,16653,114359195499623263177998977311882421514286594232778877235621757950881411997081
15,240,20208,29445153376972959061109562795208404755833175308818305255751910706054467086910
15,240,23259,44069515235624549529763035192020530178379380647845004391595554334202755583871
15,240,25991,73491214606381102718231085130753834994656053035332479454808185211396429326892
15,240,19638,91610459865617556969094887472242311993898846407191887312846518985800785648654
15,240,23006,74601166892369216835064977412513628916407860830171838846472963783898054105535
15,240,27503,88628028291463972555286613808317592133530339832637184799937207636475689788822
15,240,24529,39659232928909400689012708334182020124696744063632293926022062704315340581955
15,240,29775,57832303437790837782328313078595297897441002134880134679731542107786927955579
15,240,23613,33418062669539709183904162480229820918090130459253400624952932401524897159890
15,240,28758,107958987747630975440878719238577997635274260440424792262050646338956828374375
15,240,23063,61191394747780556071561322672593745333207340663926959414771260091381590649225
15,240,18415,18401318625714688817956017422283157623266136000118315138685279752143072609490
15,240,27791,22001580887571996462841922360665514247162000271536551182507376203535344339189
15,240,21440,70593634124076263521829525237472836176761998639537264466560496844770475452808
15,240,17904,35204789431687078812319683876155120077647950594725123915851550839245342724079
15,240,17959,76361359333080784298166414186979379433074342235541302395676654297150839802143
15,240,21542,32692990669734746875120278731627545512546895145878874969328911970797794956595
15,240,27717,49714741528147339799283957178480575981849488224582814076729201325895162109937
15,240,21034,24464402057099785976349410748470257369232025457578553180155054277346748737244
15,240,32430,67155821896631268893767538580183239592354118584116703742668345353541145564413
15,240,28953,83744077509208856468822776941678829601070135398068066985227546717170250460386
15,240,27946,111250733010536897614074910644968523224730820197916411063858627804039717267258
15,240,18245,96413167109684397944469406667296128732002498457836764591614238340497693303117
15,240,17342,86112606550265523842832230964480003138802025081669889675230710295375587120270
15,240,26398,94475342584297760546742640800015405814553642885489116965577517420358527528222
15,240,18988,65683395668679333833782166921456857640966583396434383122511020256659024354282
15,240,29099,15288434137395435686699347313857630829639911415248711247245141641551720125350
15,240,29480,38014829995442372483035276188566764167533417740070344259572335758888375114349
15,240,32447,95927297189870167463014153708912434482021161168380776522674928583646325499076
15,240,16957,82577913924874927293646064022036887871178185975766104398037592311138209038023
15,240,28720,18307743820805345702961202248460866927359335904704857952189394849999282713249
15,240,19108,39922777593092149596400764987494864435292322412645673477401347554267963210462
15,240,19595,22662851935009499959267505689866722270593192750989335263393996339904978106778
15,240,23979,77274669665893199274727115187445833284960839906618452361025900916013655433502
15,240,19848,81183452509447952512000907305381107293281096212402306486965156065877343475582
15,240,22287,19775962225302102317502961917739245573085028454548324362516075050265062269641
15,240,29790,69836726216588463680560124438391831702608983488455078966818389444092494765503
15,240,27532,107654745432181577223478234401988582720795604805386529942802724818830517105971
15,240,18999,110725767582092589131913254571054032740608042917602820212863314067307524848266
15,240,20058,48648928525801559551242386108577855211367093787224744837915182295040868332460
15,240,24966,63466755523548850622842017069749637624281525563385084282090202456819892281625
15,240,28675,21737716737000860929767101486660399776158406722417121445174598802721576732386
15,240,20311,27106291132853312258249402310307616069182595889826519108335396672310055056205
15,240,25977,7545067772718458143300973551376227797539373770049470611430954892838201107055
15,240,29230,59724430138149448102499494661264436209175357488124435534144352564540735537546
15,240,27503,88628028291463972555286613808317592133530339832637184799937207636475689788822
15,240,32565,59425699949231775025807799500061299066937869015629208770063354870337966237559
15,240,20825,7712782684731435736086376496174449762674697580029026619753288538397070387739
15,240,25716,97349617554469233550888180664135587560009280947279904440124265305342325920594
15,240,31477,22502552750611575129942250877027399206669136231079664770128277211982249865247
15,240,25694,48037339221144462005008743745342855370092376608159654747295918586841078764823
15,240,25256,67814964781593012117663999712903667021905542841222181545397572556231815071451
15,240,31756,102199747072472361199150685364781992541963771874785103886846240607842661974239
